state,state_ab,city,zip_code,pop,rent_median,family_median,hc_mortgage_median,hc_mortgage_samples,married,divorced,num_married,num_divorced
Alaska,AK,Unalaska,99685,4619,1405,101229,2283,155,0.47388,0.09802,2189,453
Alaska,AK,Eagle River,99577,3727,2351,143026,2306,797,0.52381,0.13575,1952,506
Alaska,AK,Jber,99505,8736,2089,58248,0,NaN,0.50459,0.01838,4408,161
Alaska,AK,Anchorage,99501,1941,914,52606,2359,140,0.44428,0.21563,862,419
Alaska,AK,Anchorage,99504,5981,1222,67470,1678,774,0.51034,0.08711,3052,521
Alaska,AK,Anchorage,99504,5476,1353,66015,2047,593,0.39429,0.10242,2159,561
Alaska,AK,Anchorage,99504,5893,1076,68672,1816,534,0.26362,0.08894,1554,524
Alaska,AK,Anchorage,99508,7481,1034,63622,1792,805,0.48123,0.11945,3600,894
Alaska,AK,Anchorage,99508,5501,924,43135,1866,188,0.20736,0.13622,1141,749
Alaska,AK,Anchorage,99501,3225,1068,57581,1707,402,0.40949,0.17154,1321,553
Alaska,AK,Anchorage,99501,3416,1031,59087,1497,161,0.29005,0.15162,991,518
Alaska,AK,Anchorage,99501,924,891,80966,2711,40,0.2911,0.19521,269,180
Alaska,AK,Anchorage,99501,3763,1357,132535,2362,515,0.44153,0.11328,1661,426
Alaska,AK,Anchorage,99503,4957,996,58964,1439,407,0.27269,0.20575,1352,1020
Alaska,AK,Anchorage,99508,4999,965,127713,2379,921,0.50938,0.10098,2546,505
Alaska,AK,Anchorage,99508,4255,1365,98081,1575,872,0.52751,0.03289,2245,140
Alaska,AK,Anchorage,99508,4481,1157,80652,1931,575,0.37523,0.14106,1681,632
Alaska,AK,Anchorage,99504,6036,1385,93127,1694,1150,0.45468,0.09213,2744,556
Alaska,AK,Anchorage,99504,6296,1565,95752,1808,1280,0.49034,0.13487,3087,849
Alaska,AK,Anchorage,99507,4738,1173,84648,1764,543,0.32504,0.10848,1540,514
Alaska,AK,Anchorage,99507,5306,1021,45765,1534,574,0.28709,0.08884,1523,471
Alaska,AK,Anchorage,99517,3504,1008,57747,1461,194,0.31854,0.19139,1116,671
Alaska,AK,Anchorage,99517,3137,1119,77729,1675,259,0.41694,0.17581,1308,552
Alaska,AK,Anchorage,99502,7247,1413,136481,2492,1655,0.60636,0.06067,4394,440
Alaska,AK,Anchorage,99502,8620,1216,77945,1866,1167,0.46836,0.11779,4037,1015
Alaska,AK,Anchorage,99518,5282,1278,86123,1673,1089,0.41041,0.14187,2168,749
Alaska,AK,Anchorage,99507,6375,1483,103449,1941,1471,0.56447,0.10058,3598,641
Alaska,AK,Anchorage,99507,6126,1407,118923,2005,1447,0.58507,0.09207,3584,564
Alaska,AK,Anchorage,99516,10181,1394,112954,2126,2055,0.57565,0.06522,5861,664
Alaska,AK,Anchorage,99507,8077,1427,132509,2480,1798,0.6629,0.07847,5354,634
Alaska,AK,Anchorage,99516,5069,3168,167664,2914,1018,0.65677,0.06769,3329,343
Alaska,AK,Tuntutuliak,99680,9888,549,40924,653,317,0.39011,0.03434,3857,340
Alaska,AK,Stony River,99557,1518,904,40759,716,122,0.39122,0.04936,594,75
Alaska,AK,Naknek,99633,970,1080,90105,1730,93,0.50222,0.12667,487,123
Alaska,AK,Healy,99743,2060,1048,96321,1473,234,0.50219,0.13268,1035,273
Alaska,AK,Dillingham,99576,2335,1057,78688,1891,210,0.48237,0.11832,1126,276
Alaska,AK,Fairbanks,99701,1769,837,59304,1762,100,0.36725,0.19355,650,342
Alaska,AK,Fairbanks,99701,3412,1002,47804,2058,342,0.30197,0.12171,1030,415
Alaska,AK,Fairbanks,99701,4740,1278,78377,1988,690,0.49453,0.0825,2344,391
Alaska,AK,Fairbanks,99701,3010,1089,69137,2051,494,0.35392,0.11483,1065,346
Alaska,AK,Fairbanks,99709,4353,1159,96390,2020,486,0.39587,0.19685,1723,857
Alaska,AK,Fairbanks,99709,4363,1140,73943,1875,513,0.46319,0.12219,2021,533
Alaska,AK,Fairbanks,99709,5927,1075,93619,1710,867,0.47194,0.07913,2797,469
Alaska,AK,Fairbanks,99709,5602,834,110429,2008,1214,0.63619,0.07183,3564,402
Alaska,AK,Fairbanks,99701,1521,976,102253,1533,214,0.47016,0.10771,715,164
Alaska,AK,Fairbanks,99701,8546,2101,56536,NaN,NaN,0.54675,0.03392,4673,290
Alaska,AK,Fairbanks,99709,6725,882,117325,2041,820,0.49054,0.04371,3299,294
Alaska,AK,Fairbanks,99701,7632,1520,84847,1851,1439,0.59788,0.06372,4563,486
Alaska,AK,North Pole,99705,11450,1486,88123,2017,2260,0.49704,0.15989,5691,1831
Alaska,AK,North Pole,99705,5055,1187,85629,1811,888,0.49555,0.04792,2505,242
Alaska,AK,Eielson Afb,99702,2727,2045,60069,2989,29,0.5837,0.06377,1592,174
Alaska,AK,Fairbanks,99701,10449,1009,112604,1584,1994,0.4837,0.13313,5054,1391
Alaska,AK,Haines,99827,2560,868,61605,1374,450,0.53172,0.14107,1361,361
Alaska,AK,Haines,99827,66,736,83555,649,4,0.47222,0.16667,31,11
Alaska,AK,Hoonah,99829,2062,725,68550,1488,198,0.52844,0.12927,1090,267
Alaska,AK,Juneau,99801,5076,1156,114508,2379,1142,0.51922,0.10991,2636,558
Alaska,AK,Juneau,99801,5886,1308,87477,1954,852,0.51355,0.08446,3023,497
Alaska,AK,Juneau,99801,3634,1035,112462,2389,469,0.44189,0.10265,1606,373
Alaska,AK,Juneau,99801,5833,1137,106007,2027,978,0.53241,0.10815,3106,631
Alaska,AK,Ninilchik,99639,400,663,36236,1048,5,0.60854,0.07829,243,31
Alaska,AK,Nikiski,99635,5863,1106,85921,1530,870,0.39883,0.18955,2338,1111
Alaska,AK,Moose Pass,99631,1167,882,88064,1491,203,0.68776,0.04852,803,57
Alaska,AK,Sterling,99672,6830,997,84837,1578,1242,0.57783,0.11627,3947,794
Alaska,AK,Soldotna,99669,6610,1056,78716,1577,1079,0.53878,0.09848,3561,651
Alaska,AK,Kenai,99611,7463,911,78183,1350,1162,0.54683,0.10628,4081,793
Alaska,AK,Kasilof,99610,10112,1141,82820,1463,1938,0.56891,0.11144,5753,1127
Alaska,AK,Port Graham,99603,1007,437,53464,925,66,0.47101,0.157,474,158
Alaska,AK,Ketchikan,99901,3417,1175,98468,1768,699,0.61409,0.15627,2098,534
Alaska,AK,Ketchikan,99901,4895,1066,69573,1719,613,0.43519,0.12135,2130,594
Alaska,AK,Ketchikan,99901,2365,1338,97924,1745,380,0.53098,0.13537,1256,320
Alaska,AK,Larsen Bay,99624,1885,1444,80311,1710,182,0.50841,0.07762,958,146
Alaska,AK,Kodiak,99615,2970,984,73481,1809,311,0.49396,0.06849,1467,203
Alaska,AK,Kodiak,99615,1398,1905,62799,2749,4,0.72368,0.00188,1012,3
Alaska,AK,Saint Mary's,99658,7914,504,40360,625,366,0.32517,0.04573,2573,362
Alaska,AK,Egegik,99579,1474,721,56346,915,73,0.46914,0.07407,692,109
Alaska,AK,Talkeetna,99676,2083,887,73690,1324,274,0.52356,0.1623,1091,338
Alaska,AK,Palmer,99645,6346,1081,97511,1834,1299,0.53638,0.07314,3404,464
Alaska,AK,Houston,99694,1977,841,65689,1410,337,0.51069,0.16226,1010,321
Alaska,AK,Willow,99688,2118,1085,72781,1393,334,0.55817,0.13087,1182,277
Alaska,AK,Anchorage,99517,2274,1109,77147,1437,398,0.55263,0.11598,1257,264
Alaska,AK,Wasilla,99645,4872,1556,96696,1881,924,0.65874,0.09679,3209,472
Alaska,AK,Wasilla,99687,6702,1498,90436,1605,1035,0.45807,0.18545,3070,1243
Alaska,AK,Jber,99506,4532,1237,91436,1754,950,0.50486,0.14216,2288,644
Alaska,AK,Wasilla,99623,3070,1029,77733,1633,520,0.51855,0.12263,1592,376
Alaska,AK,Wasilla,99687,3785,883,73543,1584,735,0.55592,0.06279,2104,238
Alaska,AK,Wasilla,99645,6082,1473,83635,1519,962,0.51223,0.11509,3115,700
Alaska,AK,Wasilla,99654,5390,1046,59759,1523,775,0.4244,0.14869,2288,801
Alaska,AK,Wasilla,99654,3545,1207,92791,1729,637,0.58927,0.12068,2089,428
Alaska,AK,Wasilla,99654,3864,1199,67187,1616,716,0.45996,0.21268,1777,822
Alaska,AK,Wasilla,99654,5051,943,99094,1795,876,0.49955,0.1491,2523,753
Alaska,AK,Palmer,99645,5680,1068,103776,1962,1116,0.65126,0.08268,3699,470
Alaska,AK,Palmer,99645,5424,918,77231,1540,868,0.49787,0.12801,2700,694
Alaska,AK,Nome,99762,3971,1449,78841,1973,433,0.40288,0.12155,1600,483
Alaska,AK,Klawock,99925,2139,801,54914,1264,191,0.4,0.16698,856,357
Alaska,AK,Craig,99921,2513,852,73299,1484,250,0.46409,0.14641,1166,368
Alaska,AK,Sitka,99835,3496,1034,89532,2095,443,0.49091,0.08506,1716,297
Alaska,AK,Sitka,99835,5447,1053,84805,1786,701,0.54286,0.14098,2957,768
Alaska,AK,Skagway,99840,999,1015,82062,1952,146,0.57684,0.14105,576,141
Alaska,AK,Delta Junction,99737,4794,1293,79386,1465,348,0.57439,0.11535,2754,553
Alaska,AK,Copper Center,99573,2554,663,58169,1417,204,0.43071,0.07976,1100,204
Alaska,AK,Tatitlek,99677,4434,1104,100200,1581,421,0.40606,0.18029,1800,799
Alaska,AK,Wrangell,99929,2387,732,66311,1402,324,0.57101,0.14106,1363,337
Alaska,AK,Yakutat,99689,643,944,80659,1334,67,0.40694,0.21451,262,138
Alaska,AK,Fort Yukon,99740,1218,613,35316,937,22,0.32554,0.07212,397,88
Alaska,AK,Rampart,99767,1428,599,57146,1228,102,0.45303,0.09394,647,134
Alabama,AL,Prattville,36067,2156,801,48902,1082,270,0.41371,0.16769,892,362
Alabama,AL,Prattville,36066,10763,972,76344,1251,1584,0.6373,0.06208,6859,668
Alabama,AL,Prattville,36066,2761,683,39361,941,423,0.45516,0.26133,1257,722
Alabama,AL,Elmore,36025,3187,609,77010,1656,569,0.65558,0.08076,2089,257
Alabama,AL,Mt Meigs,36057,10915,1039,73252,1317,2199,0.654,0.1397,7138,1525
Alabama,AL,Marbury,36051,5668,711,50944,1142,1275,0.61346,0.12305,3477,697
Alabama,AL,Perdido,36562,3829,401,54588,1102,513,0.49944,0.12205,1912,467
Alabama,AL,Bay Minette,36507,7455,961,62195,1375,1271,0.65943,0.10571,4916,788
Alabama,AL,Bay Minette,36507,5321,631,59436,1102,661,0.51843,0.12207,2759,650
Alabama,AL,Daphne,36526,5411,1299,70712,1294,984,0.66704,0.09609,3609,520
Alabama,AL,Daphne,36526,7645,995,67728,1893,894,0.52303,0.09274,3999,709
Alabama,AL,Loxley,36551,5810,944,58307,1045,822,0.47419,0.15561,2755,904
Alabama,AL,Silverhill,36576,7814,802,58445,1139,1365,0.5897,0.11592,4608,906
Alabama,AL,Robertsdale,36567,5029,853,51636,1083,738,0.51555,0.08669,2593,436
Alabama,AL,Summerdale,36580,4195,834,42899,1223,608,0.40168,0.21838,1685,916
Alabama,AL,Fairhope,36532,9220,962,76893,1445,1963,0.66457,0.12496,6127,1152
Alabama,AL,Fairhope,36532,4715,999,82414,1802,635,0.67801,0.05407,3197,255
Alabama,AL,Fairhope,36532,4713,645,87803,1723,876,0.74549,0.08774,3513,414
Alabama,AL,Foley,36535,10709,709,56263,1156,1910,0.64828,0.13817,6942,1480
Alabama,AL,Orange Beach,36561,3709,1202,83047,2191,718,0.72012,0.09527,2671,353
Alabama,AL,Gulf Shores,36547,3600,822,49908,1466,318,0.50258,0.09077,1809,327
Alabama,AL,Bon Secour,36511,4946,877,53356,1571,761,0.61057,0.137,3020,678
Alabama,AL,Dauphin Island,36528,704,1119,72254,1343,84,0.74138,0.07931,522,56
Alabama,AL,Foley,36535,5771,614,59457,1194,1166,0.6785,0.05691,3916,328
Alabama,AL,Foley,36535,11549,774,50919,1180,1717,0.4963,0.11646,5732,1345
Alabama,AL,Elberta,36530,6445,879,43181,1153,918,0.56078,0.08185,3614,528
Alabama,AL,Pensacola,32506,5724,732,56507,1019,1212,0.63038,0.12754,3608,730
Alabama,AL,Eufaula,36027,3524,771,56977,1190,404,0.52829,0.0676,1862,238
Alabama,AL,Clayton,36016,4320,455,45894,769,313,0.3171,0.17101,1370,739
Alabama,AL,Louisville,36048,1682,569,35231,890,203,0.51101,0.16887,860,284
Alabama,AL,Louisville,36048,3606,395,48336,943,279,0.36674,0.17303,1322,624
Alabama,AL,Eufaula,36027,3907,704,41303,798,375,0.58302,0.1673,2278,654
Alabama,AL,Eufaula,36027,1959,551,31895,873,170,0.4433,0.07658,868,150
Alabama,AL,Eufaula,36027,2093,696,51782,936,275,0.51034,0.0731,1068,153
Alabama,AL,Woodstock,35188,6511,764,44594,1048,987,0.55533,0.15382,3616,1002
Alabama,AL,Centreville,35042,8371,537,38658,978,756,0.42177,0.12264,3531,1027
Alabama,AL,Blountsville,35031,4764,695,51864,1100,543,0.63178,0.1189,3010,566
Alabama,AL,Warrior,35180,4127,999,53278,864,722,0.55486,0.15293,2290,631
Alabama,AL,Hayden,35079,9263,611,71244,1131,1925,0.68317,0.12822,6328,1188
Alabama,AL,Union Springs,36089,1989,345,41096,719,204,0.28807,0.08505,573,169
Alabama,AL,Union Springs,36089,5726,571,45769,1044,304,0.33268,0.1856,1905,1063
Alabama,AL,Union Springs,36089,2963,728,43910,1096,358,0.47149,0.10746,1397,318
Alabama,AL,Greenville,36037,2244,501,51203,1250,217,0.52516,0.1071,1178,240
Alabama,AL,Greenville,36037,1473,801,57395,1016,232,0.70553,0.12451,1039,183
Alabama,AL,Greenville,36037,2297,546,37859,1026,201,0.37751,0.09467,867,217
Alabama,AL,Georgiana,36033,1839,671,54674,1092,239,0.58278,0.09272,1072,171
Alabama,AL,Mckenzie,36456,1329,414,45933,1066,140,0.51411,0.13911,683,185
Alabama,AL,Anniston,36207,3358,676,28704,816,403,0.32083,0.18952,1077,636
Alabama,AL,Anniston,36201,2444,550,15682,640,180,0.28865,0.09662,705,236
Alabama,AL,Anniston,36201,2469,501,36154,648,241,0.31114,0.1441,768,356
Alabama,AL,Anniston,36201,1517,511,19346,768,89,0.3312,0.11752,502,178
Alabama,AL,Oxford,36203,6781,741,59961,1136,1089,0.61507,0.09481,4171,643
Alabama,AL,Anniston,36201,3354,521,45456,907,394,0.48164,0.22384,1615,751
Alabama,AL,Anniston,36207,7063,748,60900,1072,1061,0.67818,0.14825,4790,1047
Alabama,AL,Jacksonville,36265,3315,743,63229,1186,500,0.54973,0.15542,1822,515
Alabama,AL,Piedmont,36272,3374,672,50234,860,579,0.62273,0.11909,2101,402
Alabama,AL,Jacksonville,36265,4388,750,64472,1062,834,0.58462,0.14629,2565,642
Alabama,AL,Jacksonville,36265,4439,900,59294,1199,491,0.63047,0.16941,2799,752
Alabama,AL,Ohatchee,36271,4760,744,60604,1090,770,0.60999,0.13016,2904,620
Alabama,AL,Alexandria,36250,0,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!
Alabama,AL,Anniston,36206,0,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!
Alabama,AL,Five Points,36855,3877,783,51585,942,612,0.6,0.18042,2326,699
Alabama,AL,Lafayette,36862,6473,564,43071,882,1027,0.43292,0.14996,2802,971
Alabama,AL,Lanett,36863,3313,782,50220,830,418,0.62491,0.14799,2070,490
Alabama,AL,Lanett,36863,4789,761,64294,770,683,0.50242,0.10758,2406,515
Alabama,AL,Lanett,36863,4006,638,38251,849,352,0.39298,0.1614,1574,647
